full_text,normalized,label,label_manual
@Cielodulcee Gpp KL cm minta no kpt kak yg penting foto KTP KL bisa jangan Krn foto KTP bisa dipakai utk pinjol biar kita ga curigaan aja LBH tenang,gpp kalau cm meminta no kpt kak yang penting foto ktp kalau dapat jangan karena foto ktp dapat dipakai untuk pinjaman online biar kita tidak curigaan saja lbh tenang,positif,positif
@KucengTerbanggg klo sy tergantung yg nyanyi..klo dia suaranya bagus dan proper (minimal bwa gitar/gemerincinglah minimal) kukasih..tp klo udh suara sumbang nyanyi kek di kejar pinjol..gak kukasih..,kalau saya tergantung yang nyanyiklo dia suaranya bagus dan proper minimal bwa gitargemerincinglah minimal kukasihtp kalau sudah suara sumbang nyanyi kek di kejar pinjolgak kukasih,positif,positif
Gatau kenapa rasanya reall bgt apa efek kondisi lagi sakit gini ya? tapi aku terhibur bgt sm mimpi random jd member cortis tdi oiya aku jg masuk ke ruangan musik mereka yg di vlog joget plenger redred itu lo ihh aku rasa td lg dapet pinjaman arwah org yg disituu,gatau kenapa rasanya reall banget apa efek kondisi lagi sakit gini ya tapi saya terhibur banget sama mimpi random jadi member cortis tdi oiya saya juga masuk ke ruangan musik mereka yang di vlog joget plenger redred itu kamu ihh saya rasa td lagi mendapatkan pinjaman arwah orang yang disituu,positif,positif
anong prayer ba pinaka effective para makakuha ng svip or vip utang na loob,anong prayer ba pinaka effective para makakuha ng svip or vip utang na loob,negatif,negatif
@sbyfess Langsung datengin aja tetangganya nder. Entah dia mau buat pinjol atau buat uang gelap yg jelas bukan hal bagus kayaknya. Harus diperjelas ya kalo perlu misal ketauan itu niatnya buruk langsung umumin aja ke warga2 yg lain,langsung datengin saja tetangganya nder entah dia ingin untuk pinjaman online atau untuk uang gelap yang jelas bukan hal bagus kayaknya harus diperjelas ya kalau perlu misal ketauan itu niatnya buruk langsung umumin saja ke warga yang lain,positif,positif
Guys! Usahain jangan PINJOL sama jangan penasaran cobain JUDOL. Banyak udah yang bunuh diri karena kasus yang sama.,guys usahain jangan pinjaman online sama jangan penasaran cobain judi online banyak sudah yang bunuh diri karena kasus yang sama,negatif,positif
@msaid_didu @wahid118 Tetapi MENDIGI .lebih Perhatian Menanggapi KOMENTAR nya AMIEN RAIS biar Terkesan ABS Karena Terkait PS . Justru PINJOL JUDOL PORNOGRAFI yg zMenjadi Penyakit Masyarakat Tetap EKSIS !? HALO Bu MENTERI Jangan Takut di RESUFFLE karena Tidak ikut ABS !,tetapi mendigi lebih perhatian menanggapi komentar nya amien rais biar terkesan abs karena terkait ps justru pinjaman online judi online pornografi yang zmenjadi penyakit masyarakat tetap eksis halo bu menteri jangan takut di resuffle karena tidak ikut abs,negatif,negatif
@Rayaazhrar pinjaman pribadi gitu loh say,pinjaman pribadi gitu say,positif,positif
++ utang sa followers kasi emergency tasmakikita nalang nagbbar na tas kung kelan sabi magbabayad biglang nang ignore ,utang sa followers kasi emergency tasmakikita nalang nagbbar na tas kung kelan sabi magbabayad biglang nang ignore,negatif,negatif
@KapudS640 Kebetulan ajah org ditegor itu ternyata gerombolan sindikat pinjol mata elang/debt collectore.Krn mrk punya aplikasi bisa akses data pribadi qt dr plat motor.Krn kl cuma warga biasa gag mgkn bisa sedetail itu smpek ft KTP,kebetulan ajah orang ditegor itu ternyata gerombolan sindikat pinjaman online mata elangdebt collectorekrn mrk punya aplikasi dapat akses data pribadi qt dari plat motorkrn kalau cuma warga biasa gag mgkn dapat sedetail itu smpek ft ktp,negatif,positif
@littlesemongko @MiskinTV_ Yg pasti nmr buat pinjol kagak ada sih ,yang pasti nmr untuk pinjaman online kagak ada,positif,positif
